Date,Sales Channel,Product Name2,Customer ID,Customer Name,State,Discount,Sales,Sales Forecast
11/8/2022,Walk-in,Health/CI,CG-12520,Claire Gute,Hpa-an,0.00%,$400 ,$392 
11/8/2022,Walk-in,Motor,CG-12520,Claire Gute,Hpa-an,0.00%,"$1,500 ","$1,096 "
6/12/2022,Bancassurance,CAR/EAR,DV-13045,Darrin Van Huff,Yangon,0.00%,$50 ,$22 
10/11/2021,Corporate,Travel,SO-20335,Sean O'Donnell,Dawei,45.00%,$958 ,"$1,434 "
10/11/2021,Corporate,Industrial All Risk,SO-20335,Sean O'Donnell,Dawei,20.00%,$22 ,$33 
6/9/2020,Bancassurance,Cash In Transit,BH-11710,Brosina Hoffman,Yangon,0.00%,$80 ,$73 
6/9/2020,Bancassurance,CAR/EAR,BH-11710,Brosina Hoffman,Yangon,0.00%,$7 ,$11 
6/9/2020,Bancassurance,Fire,BH-11710,Brosina Hoffman,Yangon,20.00%,"$1,400 ","$1,359 "
6/9/2020,Bancassurance,Marine,BH-11710,Brosina Hoffman,Yangon,20.00%,$40 ,$28 
6/9/2020,Bancassurance,Cash In Safe,BH-11710,Brosina Hoffman,Yangon,0.00%,$115 ,$172 
6/9/2020,Bancassurance,Travel,BH-11710,Brosina Hoffman,Yangon,20.00%,"$2,600 ","$2,555 "
6/9/2020,Bancassurance,Fire,BH-11710,Brosina Hoffman,Yangon,20.00%,"$1,500 ","$1,365 "
4/15/2023,Walk-in,Fidelity,AA-10480,Andrew Allen,Myitkyina,20.00%,$16 ,$23 
12/5/2022,Commercial,Marine,IM-15070,Irene Maddox,Monywa,20.00%,$620 ,$611 
11/22/2021,Commercial,Cash In Safe,HP-14815,Harold Pawlan,Taunggyi,80.00%,$100 ,$103 
11/22/2021,Commercial,Marine,HP-14815,Harold Pawlan,Taunggyi,80.00%,$3 ,$4 
11/11/2020,Travel,Industrial All Risk,PK-19075,Pete Kriz,Magwe,0.00%,"$1,000 ",$997 
5/13/2020,Walk-in,Industrial All Risk,AG-10270,Alejandro Grove,Sittwe,0.00%,$100 ,$83 
8/27/2020,Bancassurance,CAR/EAR,ZD-21925,Zuschuss Donatelli,Yangon,0.00%,$9 ,$13 
8/27/2020,Bancassurance,Fire,ZD-21925,Zuschuss Donatelli,Yangon,20.00%,$350 ,$320 
8/27/2020,Bancassurance,Marine,ZD-21925,Zuschuss Donatelli,Yangon,20.00%,$23 ,$34 
12/9/2022,Corporate,CAR/EAR,KB-16585,Ken Black,Sittwe,0.00%,$19 ,$29 
12/9/2022,Corporate,Cash In Safe,KB-16585,Ken Black,Sittwe,0.00%,$60 ,$90 
7/16/2023,Corporate,Motor,SF-20065,Sandra Flanagan,Dawei,30.00%,$150 ,$107 
9/25/2021,Walk-in,Travel,EB-13870,Emily Burns,Sittwe,0.00%,"$1,600 ","$1,564 "
1/16/2022,Bancassurance,Marine,EH-13945,Eric Hoffmann,Yangon,20.00%,$12 ,$17 
1/16/2022,Bancassurance,PA,EH-13945,Eric Hoffmann,Yangon,0.00%,$120 ,$136 
9/17/2021,Corporate,Health/CI,TB-21520,Tracy Blumstein,Dawei,50.00%,"$4,800 ","$4,618 "
9/17/2021,Corporate,Marine,TB-21520,Tracy Blumstein,Dawei,70.00%,$10 ,$14 
9/17/2021,Corporate,Cash In Transit,TB-21520,Tracy Blumstein,Dawei,20.00%,$124 ,$186 
9/17/2021,Corporate,CAR/EAR,TB-21520,Tracy Blumstein,Dawei,20.00%,$3 ,$5 
9/17/2021,Corporate,CAR/EAR,TB-21520,Tracy Blumstein,Dawei,20.00%,$86 ,$129 
9/17/2021,Corporate,Marine,TB-21520,Tracy Blumstein,Dawei,70.00%,$7 ,$10 
9/17/2021,Corporate,CAR/EAR,TB-21520,Tracy Blumstein,Dawei,20.00%,$16 ,$24 
